"Q15149-8","Q14204","Q13813-2","Q01082-1","O15020","Q00610-1","Q14643-5","Q01484","P49327","P46821","P14136","Q8NF91","P35580-4","Q05193-3","Q05193-5","P61764-2","P46459","P61764","P07900-2","P11216","P35579-1","P02768-1","P07197","P42704","P78527","P68371","Q9BVA1","Q13885","P08238","P04350","P11217","P16157-3","P13637-3","P12277","P07437","P50993","Q71U36","P60709","Q9Y2J2","Q16555-1","Q9Y2J2-4","Q13509","P14618-2","P11498","P78559-1","Q12955","P06733-1","Q9UQ16-3","P05023","P14618","P22314","Q9Y4I1-1","P11277-2","Q99798","P07196","P68366","Q8TDJ6-3","O94925-1","P04406-1","Q01814","P10809","P09543-1","Q01814-2","P49588","Q92614-1","P06576","Q9Y490","P40939","P49411","P11142-1","P31150","P21333","P0DMV8","Q02218","Q12860","Q9UPN3","P68133","P08670","Q9Y2A7-2","P09972","P08133-1","P06744","O75891-3","P62736","Q9UDY2-6","O60282-1","P12036","Q01813","P63010-2","P25705-1","P17600","P12111-4","P04264","P06396","Q9Y4G6","P36776","P35527","P38646","Q14203","P13010","Q9Y566-3","Q9UPA5","Q00839","Q9ULU8-1","Q9ULD0","P19367-1","P20020","O43301","Q9Y6V0-5","P16615","P02787","P26232-5","Q8NB66","P00558","P11137","Q96KP4","P13645","Q02252","P01024","P12956","P68104","P38606","P78371-1","P28331-2","Q9H4M9","P30153","P08237-3","P18669","P55072","P09104","Q14195-2","P22626","P62258-1","P35749-2","P29401-2","P42356","P04075-2","Q9H4G0-1","P05129","Q09666-1","Q14194-2","P01023","O75962-1","P35908","Q9NY65","Q96F07-2","Q86UW7","Q86VP6-1","P13639","P00367","Q9H254","Q14974","O60313-2","P17252","P45974-1","O43424","P50395-1","Q05639","P17858-1","Q7Z406-2","O75746","P55809","Q92752","O75643-1","P63104-1","P09936","P55084","P12532","P34932","P61981","Q16181","A8MVX0-2","P26038","Q16352","P50570-1","P35222","O76038","P43243","Q9H115","O43175","O95782","P33176","Q9NZN3","P14625","P61266","Q16891","Q5T4S7-2","P55786","P69905","Q96QK1","P00352","P02511","P53396-2","P11021","Q13423","P51991-1","O75083","P31946","Q9C0H9-5","Q9H2X9-1","P09471-1","P80404","P23246-1","P02675","P27348","Q92499","P12236","Q9HCJ6","P08779","P54652","P42224-1","P02686-6","P09651-1","Q03252","P21281","Q02790","Q9NYI0-1","O43707","Q12765-2","P12235","P22695","P05141","Q9BUF5","Q12756-2","P07195","P09622","P78352-2","Q7Z6Z7","Q92777-1","O94760-1","Q99962","Q99832","Q08211","P00505","P02686-3","O75044","Q9NSE4","Q13557-10","O75122-3","O95248-1","P48735","P31948-2","Q8NFP9-1","Q03001-7","P50991","P49368-1","Q99250","Q1KMD3","P08758","P52272"
"1",1,17,14,15,17,1,18,17,13,15,15,1,2,17,2,17,16,4,1,1,1,7,12,2,9,2,2,2,13,2,1,2,10,17,2,10,16,15,2,11,1,2,8,9,16,9,3,2,10,7,13,2,1,11,14,2,2,2,8,15,14,16,14,17,6,14,15,1,9,11,11,14,11,17,20,1,15,1,9,3,11,4,4,12,2,1,14,16,12,1,1,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,1,4,10,16,10,2,2,14,15,1,2,15,1,4,10,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,2,11,15,14,9,13,1,2,2,5,3,2,2,6,2,13,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,1,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,17,13,15,2,2,15,11,20,10,15,2,2,11,20,14,9,16,1,12,11,4,2,14,4,16,12,16,19,2,7,15,2,17,1,3,15,15,2,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,2,14,15,17,15,18,17,13,15,15,1,2,2,2,17,16,4,13,1,1,7,14,2,5,2,2,2,13,2,1,9,10,17,2,10,17,15,2,11,1,17,8,9,16,2,3,2,10,7,13,2,1,11,12,16,2,2,8,15,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,9,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,1,10,2,2,14,15,15,2,15,1,4,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,2,11,15,14,9,13,1,2,2,5,3,2,2,2,16,13,14,9,15,4,1,20,10,13,15,2,20,12,17,2,17,16,1,1,1,13,2,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,2,11,20,14,9,16,1,12,11,15,16,14,4,16,12,16,19,6,7,12,2,17,1,3,15,15,2,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,16,13,1,15,1,16,2,2,17,16,4,13,1,1,7,12,6,5,2,17,2,13,2,1,2,10,17,2,10,17,15,16,11,1,17,8,9,16,9,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,2,12,1,15,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,2,13,8,1,9,11,1,4,10,1,10,2,2,14,15,15,17,13,1,4,10,3,11,17,15,6,11,2,8,16,9,20,15,10,9,20,6,16,17,11,15,14,9,13,1,2,2,5,3,2,17,9,16,13,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,1,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,2,11,20,14,9,16,1,12,11,4,17,14,4,16,14,16,19,6,7,12,2,17,1,3,4,15,2,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,2,2,2,17,16,4,1,1,1,7,12,2,5,2,2,2,13,2,13,9,10,17,2,10,2,15,16,11,1,17,8,9,16,9,3,2,10,7,13,2,1,11,12,2,2,2,8,12,14,16,14,13,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,2,12,1,15,16,10,4,1,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,15,1,17,15,1,4,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,17,11,15,14,9,13,1,2,2,5,8,2,17,6,16,13,14,9,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,2,11,20,14,6,16,1,12,11,4,17,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,17,7,2,17,2,2,17,2,17,7,2,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,15,15,1,2,2,2,17,16,4,1,1,1,7,12,2,9,2,2,2,13,2,13,9,10,17,2,10,16,15,16,11,1,17,8,9,16,9,3,2,10,7,13,2,1,11,14,17,2,2,8,12,14,16,14,13,9,14,15,1,9,11,11,14,11,17,20,1,15,1,9,3,11,4,4,12,2,17,14,2,12,1,12,16,10,4,1,9,10,14,1,9,9,2,5,1,17,14,15,2,2,1,8,1,9,3,16,4,10,1,10,2,2,14,15,1,2,15,1,4,10,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,2,11,1,14,9,13,1,2,2,5,3,2,2,9,16,13,14,9,15,4,1,20,10,13,15,2,20,1,17,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,2,11,20,14,2,16,1,12,11,4,17,14,4,16,12,16,19,9,7,12,2,17,1,3,4,15,2,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,2,2,2,1,16,4,13,1,1,7,14,2,5,2,2,2,13,2,1,2,10,17,2,10,17,15,2,11,1,17,8,9,1,9,3,2,10,7,15,2,1,11,12,2,2,2,8,12,14,16,14,17,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,16,12,1,12,16,10,4,17,9,10,14,1,9,9,2,5,13,17,14,15,2,16,1,8,1,9,11,16,4,10,16,10,2,2,14,15,15,17,13,1,4,10,3,11,17,15,6,11,2,8,16,9,20,15,10,9,20,2,16,2,11,15,11,9,13,1,2,2,5,8,2,2,6,16,13,14,9,15,4,1,20,20,13,15,2,20,12,2,2,17,16,1,13,1,13,17,14,4,14,6,11,7,4,8,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,2,11,20,14,9,5,17,12,11,4,2,14,4,16,12,16,19,9,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",1,17,14,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,13,1,1,7,12,2,5,2,2,2,13,2,1,2,10,17,2,10,16,15,16,11,1,17,8,9,16,9,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,15,12,2,17,14,2,12,1,15,16,10,4,17,9,10,14,1,9,2,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,15,1,2,13,1,4,10,3,11,16,15,6,11,2,8,16,9,20,15,10,9,20,2,16,16,11,15,14,9,13,17,2,2,5,3,2,2,2,2,13,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,2,11,20,14,2,5,17,12,11,4,2,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,2,7,2,2,2,2,17,2,1,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,15,15,1,2,2,2,17,16,4,13,1,1,7,12,2,5,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,12,2,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,12,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,13,15,17,13,1,4,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,17,11,15,14,9,13,1,2,2,5,3,2,2,2,16,13,14,5,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,16,11,20,14,9,16,16,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,2,1,7,9,17,15,15,2,16,11,16
"1",1,17,11,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,13,1,1,7,14,2,5,16,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,16,2,3,2,10,7,15,2,1,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,16,12,1,15,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,16,1,8,1,5,3,1,4,10,16,10,2,2,14,15,15,17,15,1,4,10,3,11,16,15,6,11,2,8,17,9,20,15,10,9,20,2,16,2,11,15,14,9,13,1,2,2,5,3,2,17,2,2,13,14,5,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,9,7,12,2,17,15,3,4,15,2,7,2,2,2,2,17,2,17,7,9,17,15,15,2,16,11,16
"1",1,17,11,15,17,15,18,17,13,15,15,1,2,2,2,1,16,4,15,1,1,7,15,2,5,2,2,2,13,2,1,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,15,2,1,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,17,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,1,4,10,1,10,2,2,14,13,15,17,13,1,4,10,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,2,11,15,11,9,13,1,2,2,5,3,2,2,6,2,13,14,5,15,4,1,20,11,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,2,11,20,14,2,5,1,12,11,15,16,14,4,16,12,16,19,6,7,15,2,17,1,3,15,15,2,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,15,15,1,16,2,2,1,16,4,1,1,1,7,14,2,5,2,2,2,13,2,1,9,10,17,2,10,16,15,16,11,1,17,8,9,16,2,3,17,10,7,13,2,1,11,14,2,2,2,8,12,14,16,14,17,2,14,15,1,9,11,3,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,5,3,16,4,10,1,10,2,2,14,15,15,2,13,1,15,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,16,11,15,11,9,13,1,2,2,5,8,17,17,6,16,13,14,2,15,4,1,20,20,13,15,2,20,12,17,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,16,11,20,14,9,16,1,12,11,4,16,14,4,16,14,16,19,6,7,15,2,17,1,3,4,15,16,7,2,2,2,2,17,2,1,7,9,17,15,15,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,13,1,1,7,12,2,5,2,2,2,13,2,1,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,12,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,16,12,1,1,16,10,4,17,9,10,14,1,2,9,2,5,13,17,14,15,2,16,1,8,1,9,11,16,4,10,1,10,2,2,11,15,1,17,13,1,4,10,3,11,16,15,6,11,2,8,16,9,20,15,10,9,20,2,16,16,11,15,14,9,13,1,2,2,5,3,2,2,6,16,13,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,14,16,19,6,7,14,2,17,15,3,4,15,2,7,2,2,2,2,17,2,1,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,13,1,1,7,12,2,5,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,16,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,15,1,9,14,15,1,9,14,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,1,10,2,2,14,13,1,2,13,1,4,10,3,11,16,15,6,11,2,8,16,9,20,15,10,9,20,2,16,2,11,13,14,9,13,1,2,2,5,3,17,2,2,16,13,14,2,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,2,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,1,3,15,15,16,7,2,2,2,2,17,9,1,7,9,17,15,15,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,1,1,1,7,12,2,5,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,13,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,13,15,17,13,1,4,10,3,11,16,15,6,11,2,8,17,9,20,15,10,9,20,2,16,17,11,15,14,9,17,1,2,2,5,3,2,2,2,16,13,14,2,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,4,2,16,11,20,14,2,16,16,12,11,4,16,14,4,16,12,16,19,2,7,12,2,17,15,3,4,15,16,7,2,2,2,2,17,2,17,7,2,17,15,1,2,16,11,16
"1",1,17,11,15,17,15,18,17,13,1,15,1,16,17,2,1,16,4,15,1,1,7,12,2,5,2,2,2,13,2,13,9,10,17,2,10,16,15,17,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,12,16,2,2,8,15,14,16,14,17,9,14,15,1,9,11,11,14,11,17,20,15,15,1,9,3,11,4,4,12,2,13,14,16,12,1,15,16,10,4,17,9,10,15,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,11,1,4,10,16,10,2,2,14,15,1,2,13,1,4,3,3,11,16,15,6,11,2,8,16,9,14,15,10,9,20,2,16,2,11,15,11,9,13,17,2,2,5,3,2,2,2,16,13,14,5,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,2,14,4,16,12,16,19,9,7,15,2,17,1,3,4,15,16,7,2,2,2,2,17,2,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,1,15,1,16,2,2,17,16,4,15,1,1,7,14,2,5,16,2,2,13,2,1,2,10,17,2,10,16,15,17,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,20,16,14,1,9,14,15,1,9,14,3,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,12,16,10,4,17,9,10,14,1,2,9,2,5,17,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,13,1,17,15,1,4,3,3,11,16,15,6,11,2,8,16,2,20,15,10,9,20,2,16,17,11,15,14,9,13,1,2,2,5,3,17,2,2,16,13,14,2,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,6,7,15,2,17,1,3,4,15,2,7,2,2,2,2,17,2,17,7,9,17,15,15,2,5,11,16
"1",1,17,14,15,17,15,18,17,13,1,15,1,16,2,2,1,16,4,15,1,1,7,12,2,2,16,17,2,13,2,1,2,10,17,2,10,17,15,16,11,1,17,8,9,16,2,3,2,10,7,15,2,1,11,14,17,2,2,8,12,14,16,14,1,9,14,15,1,9,11,3,14,11,13,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,5,3,16,4,10,1,10,2,2,14,15,15,17,15,1,4,10,3,11,16,15,6,11,2,3,16,9,20,15,10,9,20,2,16,17,11,15,14,9,13,1,2,2,5,3,17,2,9,16,13,14,2,15,4,1,20,20,13,15,2,20,12,17,16,17,16,1,1,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,16,11,20,14,2,5,1,12,11,4,16,14,4,16,12,16,19,9,7,12,2,17,1,3,4,15,16,7,2,17,2,2,17,2,17,7,9,17,15,15,2,5,11,16
"1",13,17,11,15,17,15,18,17,13,15,15,1,16,2,2,17,16,4,15,1,1,7,14,2,2,17,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,15,2,13,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,1,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,1,4,10,1,10,2,2,14,15,15,17,13,1,4,10,3,11,17,15,6,11,2,8,16,2,20,15,10,9,20,2,16,16,11,15,14,9,13,1,2,2,5,3,2,17,2,16,13,14,2,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,1,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,6,7,15,2,17,15,3,4,15,17,7,2,2,2,2,17,2,1,7,2,17,15,15,2,16,11,16
"1",13,17,14,15,17,15,18,16,13,15,15,1,16,2,2,17,16,4,13,1,1,7,12,2,2,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,1,6,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,15,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,2,1,8,1,9,3,16,4,10,1,10,2,2,14,15,15,2,15,1,4,3,3,11,16,15,6,11,2,8,17,9,20,15,10,9,20,2,16,16,11,15,11,9,13,1,2,2,5,3,6,2,6,16,13,14,5,15,4,1,20,10,13,15,2,20,12,16,17,17,16,1,13,1,13,17,14,4,14,6,11,7,14,3,2,13,8,15,16,13,15,2,2,14,11,20,10,4,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,15,3,4,15,16,7,2,2,2,2,17,2,17,7,9,17,15,15,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,15,15,1,2,2,2,1,16,4,15,1,1,7,12,2,2,2,2,2,13,2,1,2,10,17,2,10,16,15,2,11,1,2,8,9,16,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,13,2,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,2,10,14,1,2,2,2,5,1,17,14,15,2,2,1,8,1,9,3,16,4,10,16,10,2,2,14,15,12,17,15,1,4,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,10,2,16,17,11,13,14,9,13,1,2,2,5,3,17,2,6,16,13,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,3,2,13,8,15,17,13,15,2,2,14,11,20,10,15,2,16,11,20,14,2,16,1,12,11,15,16,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,6,17,7,9,17,15,1,2,16,11,16
"1",13,17,14,15,17,15,18,17,13,15,15,1,16,2,2,17,16,4,13,1,1,7,12,2,5,17,2,2,13,2,1,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,15,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,16,12,1,1,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,16,1,8,1,9,3,1,4,10,1,10,2,2,14,13,15,2,15,1,4,3,3,11,16,15,6,11,2,8,16,9,20,15,10,9,20,2,16,17,11,13,11,9,13,1,2,2,5,3,2,17,2,17,13,14,2,15,4,1,20,20,1,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,8,2,13,8,15,16,13,15,2,2,15,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,6,7,15,2,17,1,3,15,15,16,7,2,2,2,2,17,2,17,7,9,17,15,15,2,16,11,16
"1",1,17,11,15,17,15,18,17,13,15,15,1,16,2,2,17,16,4,15,1,1,7,12,2,2,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,20,16,14,1,9,14,15,1,9,14,3,14,11,17,20,1,15,1,2,3,11,4,4,12,2,13,14,16,12,1,1,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,1,10,2,2,14,13,15,2,13,1,4,3,3,11,17,15,6,11,2,8,17,2,20,15,10,9,20,2,16,2,11,15,11,9,13,1,2,2,5,3,2,2,2,16,13,14,2,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,13,1,13,17,4,4,14,6,11,7,4,8,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,2,16,1,12,11,4,16,14,4,16,12,16,19,9,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,2,1,7,9,17,15,15,2,16,11,16
"1",1,17,11,15,17,15,18,17,13,1,15,1,16,2,2,17,16,15,13,1,1,7,12,2,5,2,2,2,13,2,1,2,10,17,2,10,16,15,16,11,1,17,8,9,1,9,3,2,10,7,13,2,1,11,12,16,2,2,8,12,14,16,14,13,2,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,12,16,10,4,17,9,10,14,1,2,2,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,16,10,2,2,14,15,15,2,13,1,4,10,3,11,17,15,6,11,2,8,17,9,20,15,10,9,20,2,16,16,11,15,14,9,13,1,2,2,5,8,2,2,6,16,15,14,9,15,4,1,20,20,13,15,2,20,12,2,17,17,16,1,13,1,13,17,14,4,14,6,11,7,4,8,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,2,16,16,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,2,1,7,2,17,15,15,2,16,11,16
"1",13,17,11,15,17,15,18,17,13,15,15,1,17,2,2,17,16,4,13,1,1,7,14,2,2,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,17,8,9,1,9,3,2,10,7,13,2,1,11,12,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,15,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,9,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,1,10,2,2,14,15,15,17,13,1,4,3,3,11,17,15,6,11,2,8,17,9,20,15,10,9,10,2,16,2,11,15,14,9,13,1,2,2,5,3,17,17,6,16,13,14,2,15,4,1,20,20,13,15,2,20,12,17,17,17,16,1,1,1,13,17,14,4,14,6,11,7,4,3,2,13,8,15,16,13,15,2,2,14,11,20,10,15,2,16,11,20,14,2,16,17,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,16,7,2,2,2,2,17,2,17,7,2,17,15,15,2,16,11,16
"1",13,17,11,15,17,15,18,17,13,15,15,1,2,2,2,17,16,4,13,1,1,7,12,2,5,2,2,2,13,2,13,2,10,17,2,10,16,15,16,11,1,2,8,9,16,2,3,2,10,7,13,2,1,11,14,16,2,2,8,12,14,16,14,1,9,14,15,1,9,11,11,14,11,17,20,1,15,1,2,3,11,4,4,12,2,1,14,16,12,1,15,16,10,4,17,9,10,14,1,2,9,2,5,1,17,14,15,2,16,1,8,1,9,3,16,4,10,1,10,2,2,14,15,15,17,15,1,4,3,3,11,16,15,6,11,2,8,17,9,20,15,10,9,20,2,16,17,11,15,11,9,13,1,2,2,5,3,2,17,2,16,13,14,9,15,4,1,20,10,13,15,2,20,12,2,17,17,16,1,1,1,13,17,14,4,14,6,11,7,4,8,2,13,8,15,16,13,15,2,2,4,11,20,10,15,2,16,11,20,14,9,16,1,12,11,4,16,14,4,16,12,16,19,6,7,12,2,17,1,3,4,15,2,7,2,2,2,2,17,2,1,7,9,17,15,15,2,16,11,16
